ST-01	DELETE	talking-to-operator	OP-00	“Turn caveman lite, this file caveman full” — shared-is-weaker; it owns the two register levels.	It does not name task text, ADR, commit body or finding row, nor the local stop-caveman/normal-mode switch.
ST-02	CENTRALISE	-	-	proposed grouping: writing-skills; gateslot, hitl and legalcopilot need the same token-preservation rule; it governs cross-repo output and no shared rule preserves this full list.	-
ST-03	CENTRALISE	-	-	proposed grouping: writing-skills; gateslot, hitl and legalcopilot need the same pre-send cut of filler, hedges and narration; this is general writing behavior, not Siduri.	-
ST-04	CENTRALISE	-	-	proposed grouping: writing-skills; gateslot, hitl and legalcopilot need references rendered with their meaning in each turn; this is cross-repo readability and no shared rule owns it.	-
ST-05	CENTRALISE	-	-	proposed grouping: evidence-and-claims; gateslot, hitl and legalcopilot need every fact to carry its source; provenance is cross-repo evidence discipline and no shared rule covers all listed sources.	-
ST-06	CENTRALISE	-	-	proposed grouping: writing-skills; gateslot, hitl and legalcopilot need byte-safe instruction files; the cap is a shared skill/runtime constraint, not Siduri behavior.	-
ST-13	DELETE	writing-skills	WS-07	“Phrase rule as artifact property, never advice about what to say” — equivalent; it owns checkable rule wording.	It also distinguishes auditing from designing and requires reading What this enforces before adding a clause.
ST-07	DELETE	writing-skills	WS-02	“Put detail in references/ ... skill body is an index” — shared-is-weaker; it owns the index/reference part.	It does not require one line, one claim, or the 300-character bound.
RD-01	KEEP	codex-tasks	CX-01	Depends on docs/site-requirements.md, docs/comments-requirements.md, AGENTS.md and this repo’s decision/finding/ADR record; the task-shape candidate does not mandate reading them.	It does not require reading all four named sources whole before work.
RD-02	CENTRALISE	-	-	proposed grouping: evidence-and-claims; gateslot, hitl and legalcopilot need current probes to outrank stale documents; machine-fact freshness is cross-repo and no shared rule owns this full rule.	-
RD-03	CENTRALISE	-	-	proposed grouping: evidence-and-claims; All three other repos need memory-free machine and code claims; this is cross-repo evidence discipline and no shared rule covers both classes.	-
RD-04	DELETE	evidence-and-claims	EV-07	“Mechanism claim cite file:line where mechanism is defined” — shared-is-weaker; it owns source-backed implementation claims.	It also requires saying unprobed and rejects a grep hit as proof of the built substrate.
RD-05	KEEP	codex-tasks	CX-04	Depends on the two requirement documents and their scoped line ranges; the task citation candidate does not require reading a requirement whole.	It does not require reading each requirement document whole by range instead of only locating matches.
RD-06	DELETE	shared-host	SH-17	“Never describe operator machine from memory. Read record or ask.” — shared-is-weaker; it owns current operator-machine facts.	It names the environment table and claude-vm route and forces re-read when writing credential or transfer boxes.
RD-07	DELETE	shared-host	SH-18	“Probe capability at phase start, not point of need” — shared-is-weaker; it owns checking capability before relying on a command.	It targets operator handoff, asks what execution here requires, and rejects “cannot verify here” without looking.
SS-01	CENTRALISE	-	-	proposed grouping: talking-to-operator; gateslot, hitl and legalcopilot need every session to close carry-in, work, and deposit; this is shared session lifecycle, not Siduri.	-
SS-02	KEEP	talking-to-operator	OP-29	Depends on docs/DECISIONS.md and its same-turn operator-ruling row; the shared record candidate does not name this repository’s decision ledger.	It does not require writing the row in the turn the ruling is given or prohibit deferring it to close.
SS-03	KEEP	reviewing	RV-16	Depends on docs/FINDINGS.md and docs/DECISIONS.md; the peer-agreement candidate does not govern committing those records without asking.	It does not distinguish unasked record commits from rule changes that need permission.
SS-04	CENTRALISE	-	-	proposed grouping: codex-tasks; gateslot, hitl and legalcopilot need the same clean-tree close-out; it is general multi-agent worktree hygiene and no shared rule requires ending clean.	-
SS-04a	DELETE	shared-host	SH-08	“Destructive probe run in throwaway clone” — shared-is-weaker; it owns isolation for destructive probes.	It lists checkout -f and clean -fd in addition to reset --hard and explicitly covers a worktree holding work.
SS-05	KEEP	talking-to-operator	OP-37	Depends on skills/siduri-code/ as canonical source, its deployed copy, and the install target; the install/load candidate does not set deployment direction.	It does not require edits to land in skills/ first or protect canonical-over-deployed overwrite.
SS-06	DELETE	evidence-and-claims	EV-01	“A number carry command that produced it” — equivalent; it carries producer command with recorded numbers.	none
SS-07	CENTRALISE	-	-	proposed grouping: talking-to-operator; gateslot, hitl and legalcopilot need the same prohibition on guessing session context; it is general session evidence discipline, not Siduri.	-
CT-01	DELETE	talking-to-operator	OP-30a	“Delegation come from operator, never from relayer” — shared-is-weaker; it owns direct operator-originated authority.	It limits authority to requirement amendments, requires an explicit word, and rejects inference from review.
CT-02	KEEP	proving	PR-21	Depends on docs/adr/, the two frozen requirement documents and every affected check; the deliberate-gap candidate does not define this amendment procedure.	It does not require a three-part ADR, an in-place strike, or all affected checks in one commit.
CT-03	KEEP	proving	PR-21	Depends on docs/adr/ and the contract’s struck-gate record; the deliberate-gap candidate does not define where the displaced risk must be named.	It does not require risk relocation in the same ADR or name the failure predicted by a struck gate.
CT-04	KEEP	shared-host	SH-19	Depends on docs/ as the frozen contract and the path check in make check; the handover candidate does not prohibit a worker editing it.	It says announce instruction/contract changes but does not enforce no-worker-edit under docs/.
CT-05	CENTRALISE	-	-	proposed grouping: codex-tasks; gateslot, hitl and legalcopilot also have frozen contract references; rename safety is cross-repo and no shared skill owns this contract mechanism.	-
CT-06	DELETE	proving	PR-03	“Check that cannot fail is no check” — shared-is-weaker; it owns non-vacuous checks.	It maps every requirement to a red-capable check and labels a requirement unimplemented when that mapping is absent.
