FO-01	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot workers also obey task text or guards rather than a lead-only skill; worker context is task protocol, not siduri-specific.	-
FO-02	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot need the same root AGENTS.md load-order and 32768-byte truncation protection; this is Codex task context, not site behavior.	-
FO-03	KEEP	codex-tasks	CX-14	Depends on this repo's eight-lane file ownership and integrator seam; codex-tasks:CX-14 warns that shared-line edits can still conflict, but not one-new-file-per-lane or integrator ownership.	eight-lane file ownership and integrator-only shared files
FO-04	KEEP	none	-	Depends on internal/site:Register, init(), and content loading in internal/site/build.go; no deployed shared rule addresses content-derived route registration lifecycle.	no deployed candidate covers Register/init timing versus Build content loading or tag/tool/thread route cardinality
FO-05	CENTRALISE	shared-host	-	gateslot, hitl and legalcopilot also allocate values across parallel lanes; shared-host should own pre-cut allocation because it is a shared namespace fact, not site code.	-
FO-06	DELETE	codex-tasks	CX-13	codex-tasks:CX-13 says "Deliver task as file, never terminal text"; shared-is-weaker.	does not require the worker to read that file or the operator to paste a pointer instead of task text
FO-07	KEEP	shared-host	SH-09	Depends on this repo's eight-lane/four-core merge wave; shared-host:SH-09 isolates a committed gate in a disposable worktree but does not say workers skip gates or the integrator gates the merged tree once.	eight-lane worker-versus-integrator gate ownership and the single merged-tree run
FO-08	DELETE	codex-tasks	CX-22	codex-tasks:CX-22 says "Branch green alone says nothing about branch merged"; equivalent.	does not carry this repo's eight-branch/28-pair consequence
FO-09	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot also need a named integrator with an owned task and clean fast-forward; merge choreography is fan-out practice, not siduri code.	-
FO-10	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot all split work into lanes yet need one person-performed product outcome; task closeout is not siduri route or content behavior.	-
FO-10a	DELETE	talking-to-operator	OP-35	talking-to-operator:OP-35 says "Deliverable operator must look at get built here and delivered where they are"; equivalent, and this rule already defers to talking-to-operator:OP-35.	does not state that wave closure waits for full lane merge/CI or name the publish-path and credential sequence
FO-11	DELETE	codex-tasks	CX-16	codex-tasks:CX-16 says "Report is claim; check tree"; equivalent.	does not explicitly name test-count and gate-passed summaries as insufficient
FO-12	KEEP	codex-tasks	CX-14	Depends on tools/lane_overlap.py and this repo's eight task files; codex-tasks:CX-14 warns of shared-line conflict but does not define the filename seam scan or pre-cut non-empty failure.	the lane-overlap filename scan, task-set seam check, and rule to fix the seam before cutting worktrees
FO-13	KEEP	codex-tasks	CX-14	Depends on this repo's Go integrator files and eight-lane ownership; codex-tasks:CX-14 covers shared-line conflict but not the one-lane threshold or the go.mod/Makefile/routes.go file set.	the named integrator-owned files and the threshold that prevents two lanes claiming one
FO-14	KEEP	codex-tasks	CX-22	Depends on tools/lane_overlap.py --branches and this repo's declared-file contract; codex-tasks:CX-22 covers branch-green versus merged state, not declared intent versus actual file diff.	the task-versus-branch file-set comparison and its prevent-then-detect direction
FO-15	KEEP	codex-tasks	CX-15	Depends on this Go tree's go.mod/go.sum ownership and eight-lane dependency cut; codex-tasks:CX-15 says what lands ahead and what a task changes, but not pre-cut dependency resolution or go get prohibition.	pre-cut go.mod/go.sum ownership and the rule that no lane runs go get
FO-16	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot also split changes under a green-required gate; the mergeable unit follows each gate, not Siduri's Go or content model.	-
FO-17	KEEP	codex-tasks	CX-22	This rule explicitly defers codex-tasks:CX-22 outward; it depends on this repo's eight-lane merged-tree versus standalone-branch prediction, while codex-tasks:CX-22 only says branch green does not imply merged branch.	the converse claim that a merged tree says nothing about either branch alone and the C1/C3 prediction failure
FO-18	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot all pass parsed output between lanes; field-level schema pinning is task protocol, not siduri-specific.	-
FO-19	CENTRALISE	proving	-	gateslot, hitl and legalcopilot all have multi-part deliverables whose defects live between pieces; proving should own relation-level checks, not a Siduri renderer.	-
PR-01	DELETE	proving	PR-01	proving:PR-01 says "Prove red first. Plant breach, watch red, restore, watch green"; shared-is-weaker.	does not require naming the input that turns the check red or mention the un-widened seam example
PR-02	CENTRALISE	proving	-	gateslot, hitl and legalcopilot need checks that remove workarounds rather than merely coexist with them; this is falsifier design, not Siduri's build loop.	-
PR-03	DELETE	evidence-and-claims	EV-16	evidence-and-claims:EV-16 says "Peer report is claim; tree is evidence" and requires git status --porcelain; equivalent.	does not explicitly explain that git diff omits untracked files or can include unrelated tracked generated files
PR-04	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot also have lane-specific deliverables with different file counts; Done-when count is task ownership, not Go or Siduri behavior.	-
PR-05	CENTRALISE	proving	-	gateslot, hitl and legalcopilot need proof artifacts to survive handoff; no deployed shared rule requires retaining the committed check instead of deleting its demonstration.	-
PR-06	DELETE	proving	PR-01	proving:PR-01 says "Plant breach, watch red, restore, watch green"; equivalent.	does not require reporting which planted input fired
PR-07	CENTRALISE	proving	-	gateslot, hitl and legalcopilot need repeatable generated or probed outputs; recursive checksum proof is a shared proving concern, not site-specific.	-
PR-08	CENTRALISE	proving	-	gateslot, hitl and legalcopilot can hide stateful defects after one run; repeat-run proof is shared test discipline, not Siduri-specific.	-
PR-09	DELETE	proving	PR-13	proving:PR-13 says "Absence weaker than positive control" because nothing matched and a broken matcher print the same; shared-is-weaker.	does not require printing the observed value instead of an ok token
PR-10	DELETE	proving	PR-05	proving:PR-05 says "Gate running only where it cannot fail is no gate"; equivalent.	does not name A8_EXTERNAL_LINKS or require asking which mode actually ran
PR-11	DELETE	evidence-and-claims	EV-13	evidence-and-claims:EV-13 says "Name holder and read it" when absence cannot answer what uses a resource; shared-is-weaker.	does not require verifying that the identified service serves this site's markup after the port check
PR-11a	CENTRALISE	shared-host	-	gateslot, hitl and legalcopilot also run acceptance against live services that can differ from installed files; shared-host should own process identity and freeze proof, not this site's incident.	-
PR-12	CENTRALISE	proving	-	gateslot, hitl and legalcopilot all need meta-checks to prove that their guards and fixtures actually landed and fired; this is shared proving discipline.	-
PR-13	CENTRALISE	codex-tasks	-	gateslot, hitl and legalcopilot pass command-bearing fields through task or acceptance harnesses; executable command versus prose is shared task protocol, not local behavior.	-
PR-14	CENTRALISE	proving	-	gateslot, hitl and legalcopilot write guards sensitive to changed targets; independently deriving the target is shared proving discipline, not a Siduri file rule.	-
PR-15	KEEP	none	-	Depends on docs/site-requirements.md and docs/comments-requirements.md as contracts, acceptance/, and tools/secretscan.py's exemption scope; no deployed shared rule covers this local role-based recording boundary.	no deployed candidate covers acceptance outside docs, contract-file protection, and the secretscan exemption that makes evidence self-triggering
PR-16	CENTRALISE	evidence-and-claims	-	gateslot, hitl and legalcopilot all group probe findings in reports; verdict/table equality and exact partition are report-evidence invariants, not Siduri-specific.	-
PR-16a	DELETE	screen-annotations	SN-04a	screen-annotations:SN-04a says "Annotation <n> position" and requires resolving Page because pruning renumbers it; shared-is-weaker.	does not require section as the second coordinate or address duplicate row numbers across report tables
